YEAR,valid_days,annual_max_24h_mm
1950,365,40.4
1951,365,55.5
1952,366,27.1
1953,365,31.8
1954,365,16.1
1955,365,76.8
1956,366,27.4
1957,365,30.1
1958,365,26.7
1959,365,25.0
1960,366,57.5
1961,365,20.3
1962,365,18.6
1963,365,30.1
1964,366,29.9
1965,365,38.7
1966,365,55.2
1967,365,30.3
1968,366,22.5
1969,365,31.4
1970,365,24.5
1971,365,19.3
1972,366,65.8
1973,365,53.0
1974,365,27.8
1975,365,33.3
1976,366,24.1
1977,365,42.2
1978,365,35.8
1979,365,38.5
1980,366,31.3
1981,365,38.7
1982,365,30.1
1983,365,29.0
1984,366,29.4
1985,365,23.0
1986,365,19.7
1987,365,95.7
1988,366,46.0
1989,365,39.4
1990,365,37.4
1991,365,25.8
1992,366,68.2
1993,365,38.8
1994,365,33.4
1995,365,82.0
1996,366,24.4
1997,365,50.6
1998,365,32.4
1999,365,26.2
2000,366,47.0
2001,365,104.2
2002,365,26.6
2003,365,26.4
2004,366,25.8
2005,365,21.6
2006,365,20.4
2007,365,44.8
2008,366,30.6
2009,365,24.8
2010,365,43.1
2011,365,24.7
2012,366,23.9
2013,365,27.4
2014,365,29.1
2015,365,31.1
2016,366,52.9
2017,365,67.7
2018,365,78.2
2019,365,43.8
2020,366,35.6
2021,365,43.3
2022,365,47.0
2023,365,48.1
2024,366,70.8
